pais,codigo,nombre del indicador,CO2,periodo
Canada,CAN,CO2 emissions (metric tons per capita),10.77084729,1960
México,MEX,CO2 emissions (metric tons per capita),1.653382376,1960
Estados Unidos,USA,CO2 emissions (metric tons per capita),15.99977916,1960
Canada,CAN,CO2 emissions (metric tons per capita),10.62789765,1961
México,MEX,CO2 emissions (metric tons per capita),1.657749762,1961
Estados Unidos,USA,CO2 emissions (metric tons per capita),15.68125552,1961
Canada,CAN,CO2 emissions (metric tons per capita),11.13062748,1962
México,MEX,CO2 emissions (metric tons per capita),1.569744495,1962
Estados Unidos,USA,CO2 emissions (metric tons per capita),16.0139375,1962
Canada,CAN,CO2 emissions (metric tons per capita),11.1321024,1963
México,MEX,CO2 emissions (metric tons per capita),1.58230541,1963
Estados Unidos,USA,CO2 emissions (metric tons per capita),16.48276215,1963
Canada,CAN,CO2 emissions (metric tons per capita),12.3053704,1964
México,MEX,CO2 emissions (metric tons per capita),1.716861248,1964
Estados Unidos,USA,CO2 emissions (metric tons per capita),16.96811858,1964
Canada,CAN,CO2 emissions (metric tons per capita),12.81400147,1965
México,MEX,CO2 emissions (metric tons per capita),1.6862776480000001,1965
Estados Unidos,USA,CO2 emissions (metric tons per capita),17.45172525,1965
Canada,CAN,CO2 emissions (metric tons per capita),12.93491815,1966
México,MEX,CO2 emissions (metric tons per capita),1.758940757,1966
Estados Unidos,USA,CO2 emissions (metric tons per capita),18.12107301,1966
Canada,CAN,CO2 emissions (metric tons per capita),13.8103546,1967
México,MEX,CO2 emissions (metric tons per capita),1.8996882590000002,1967
Estados Unidos,USA,CO2 emissions (metric tons per capita),18.59831788,1967
Canada,CAN,CO2 emissions (metric tons per capita),14.632645199999999,1968
México,MEX,CO2 emissions (metric tons per capita),1.922298042,1968
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.08938916,1968
Canada,CAN,CO2 emissions (metric tons per capita),14.61864861,1969
México,MEX,CO2 emissions (metric tons per capita),2.028564787,1969
Estados Unidos,USA,CO2 emissions (metric tons per capita),19.85794566,1969
Canada,CAN,CO2 emissions (metric tons per capita),16.01414875,1970
México,MEX,CO2 emissions (metric tons per capita),2.192453215,1970
Estados Unidos,USA,CO2 emissions (metric tons per capita),21.11125227,1970
Canada,CAN,CO2 emissions (metric tons per capita),16.29009027,1971
México,MEX,CO2 emissions (metric tons per capita),2.351864333,1971
Estados Unidos,USA,CO2 emissions (metric tons per capita),20.98020348,1971
Canada,CAN,CO2 emissions (metric tons per capita),17.329425,1972
México,MEX,CO2 emissions (metric tons per capita),2.387595326,1972
Estados Unidos,USA,CO2 emissions (metric tons per capita),21.74864198,1972
Canada,CAN,CO2 emissions (metric tons per capita),17.05995183,1973
